alternatifHadiseIstNo,boylam,enlem,gunlukTahminIstNo,il,ilPlaka,ilce,merkezId,oncelik,saatlikTahminIstNo,sondurumIstNo,yukseklik,aciklama,modelId,gps
,35.298,36.9838,90101,Adana,1,Adana Havalimanı,90116,0,17352,17352,20,,72451,0
,35.3929,37.5461,90105,Adana,1,Aladağ,90105,0,,18258,840,,80313,1
,35.7955,37.0153,90106,Adana,1,Ceyhan,90106,0,,17960,30,,73117,1
,35.9,37.7764,90108,Adana,1,Feke,90108,0,,18269,583,,84255,1
,35.0628,37.2506,90110,Adana,1,Karaisalı,90110,0,,17936,240,,76376,1
,35.3894,36.5683,90111,Adana,1,Karataş,90111,0,,17981,22,,66558,1
,35.8188,37.4337,90112,Adana,1,Kozan,90112,0,,17908,112,,79013,1
,34.9022,37.4758,90113,Adana,1,Pozantı,90113,0,,17934,1080,,79647,1
,36.0853,37.9811,90114,Adana,1,Saimbeyli,90114,0,,18056,1050,,86879,1
,35.3669,37.0397,90101,Adana,1,Sarıçam,90115,0,17352,18270,80,,73108,1
,35.298,36.9838,90101,Adana,1,Seyhan,90101,1,17352,17352,20,,72451,1
,36.2195,38.26,90102,Adana,1,Tufanbeyli,90102,0,,18053,1415,,90812,1
,35.7903,36.7687,90103,Adana,1,Yumurtalık,90103,0,,17979,34,,69187,1
,35.3443,37.0041,90101,Adana,1,Yüreğir,90104,0,17352,17351,23,,72452,1
,35.2614,37.0578,90101,Adana,1,Çukurova,90107,0,17352,18268,165,,73760,1
,35.6444,37.2425,90109,Adana,1,İmamoğlu,90109,0,,18055,89,,76389,1
,35.3443,37.0041,90101,Adana,1,İncirlik Havalimanı,90117,0,17352,17350,65,,72452,0
,38.4732,37.7365,90201,Adıyaman,2,Adıyaman Havalimanı,90210,0,17265,17266,675,,83657,
,37.825,37.6853,90206,Adıyaman,2,Besni,90206,0,,18181,1078,,82987,1
,39.0408,38.0328,90208,Adıyaman,2,Gerger,90208,0,,18182,821,,87599,1
,37.6532,37.7867,90209,Adıyaman,2,Gölbaşı,90209,0,,17871,900,,84294,1
,38.6155,37.7918,90210,Adıyaman,2,Kahta,90210,0,,17910,725,,84315,1
,38.2775,37.7553,90201,Adıyaman,2,Merkez,90201,1,17265,17265,672,,83652,1
,38.4806,37.5825,90202,Adıyaman,2,Samsat,90202,0,,18345,590,,81037,1
,38.6252,38.0329,90203,Adıyaman,2,Sincik,90203,0,,18346,1368,,87590,1
,37.9317,37.7975,90204,Adıyaman,2,Tut,90204,0,,18347,1086,,84300,1
,38.2272,38.0294,90207,Adıyaman,2,Çelikhan,90207,0,,18180,1380,,87581,1
,30.5999,38.7328,90301,Afyonkarahisar,3,Afyonkarahisar Havalimanı,90319,0,17190,17189,1001,,97892,0
,30.9179,38.9715,90307,Afyonkarahisar,3,Bayat,90307,0,,17753,1100,,101174,1
,30.0214,37.9014,90306,Afyonkarahisar,3,Başmakçı,90306,0,,18291,865,,85434,1
,31.0477,38.7268,90308,Afyonkarahisar,3,Bolvadin,90308,0,,17796,1018,,97902,1
,29.8667,37.9309,90311,Afyonkarahisar,3,Dazkırı,90311,0,,18037,900,,86086,1
,30.1531,38.0597,90312,Afyonkarahisar,3,Dinar,90312,0,,17862,864,,88057,1
,31.1463,39.0098,90313,Afyonkarahisar,3,Emirdağ,90313,0,,17752,983,,101834,1
,29.91,38.0322,90314,Afyonkarahisar,3,Evciler,90314,0,,18007,903,,87397,1
,29.9697,38.5819,90315,Afyonkarahisar,3,Hocalar,90315,0,,18292,1130,,95258,1
,30.1419,38.2575,90318,Afyonkarahisar,3,Kızılören,90318,0,,18293,1190,,90677,1
,30.5604,38.738,90301,Afyonkarahisar,3,Merkez,90301,1,17190,17190,1034,,97891,1
,30.2313,38.4558,90302,Afyonkarahisar,3,Sandıklı,90302,0,,18002,1040,,93954,1
,30.2352,38.7415,90303,Afyonkarahisar,3,Sinanpaşa,90303,0,,18003,1164,,97884,1
,31.2199,38.531,90304,Afyonkarahisar,3,Sultandağı,90304,0,,18006,1054,,94631,1
,31.0315,38.5903,90309,Afyonkarahisar,3,Çay,90309,0,,17793,996,,95936,1
,30.7947,38.7017,90310,Afyonkarahisar,3,Çobanlar,90310,0,,17791,996,,97241,1
,30.395,39.0343,90316,Afyonkarahisar,3,İhsaniye,90316,0,,18005,1078,,102472,1
,30.7484,38.8675,90317,Afyonkarahisar,3,İscehisar,90317,0,,18004,1126,,99860,1
,30.5683,38.5295,90305,Afyonkarahisar,3,Şuhut,90305,0,,17829,1140,,94616,1
,33.9219,38.8564,96804,Aksaray,68,Ağaçören,96804,0,,18480,1305,,99931,1
,33.3592,38.3086,96805,Aksaray,68,Eskil,96805,0,,18481,985,,91403,1
,34.3436,38.4089,96806,Aksaray,68,Gülağaç,96806,0,,18482,1180,,93390,1
,34.3722,38.2708,96807,Aksaray,68,Güzelyurt,96807,0,,18116,1524,,91426,1
,33.9987,38.3705,96801,Aksaray,68,Merkez,96801,1,17192,17192,970,,92727,1
